gene,mean_recurrence,meth_vs_exp_R_mean,meth_vs_exp_maxPvalue,age_vs_exp_R,age_vs_exp_Pvalue
GIMAP1,0.0626035110963895,-0.1010787702200632,7.332716464706363e-18,-0.2379426261871182,2.4089794228316856e-07
RBM23,0.0624378933421662,-0.2260928608113807,3.9764059794985e-90,-0.2643858382219314,1.0451095858291915e-09
MAML3,0.0621618637517941,-0.0986836406540858,5.308491908297304e-16,-0.2255262924592906,2.502978116044095e-06
ST3GAL4,0.06160980457105,-0.251295607482347,2.4635971895341892e-89,-0.1674087269101128,0.0255564288806296
MANSC1,0.0615269956939383,-0.2208148433188396,2.8560112825495323e-66,-0.3236210513147305,4.932577115044246e-16
PAK1,0.0614441868168267,-0.0542996491135751,0.0155770143268493,-0.2218889368754347,4.84512257299905e-06
ZNF20,0.0612785690626035,-0.2438638436756149,1.5841754507802624e-117,-0.3732653025285223,1.543070817732637e-22
KREMEN1,0.0592911560119244,-0.0923533348438656,3.32513015565159e-14,-0.3076796447149215,3.4854655491372256e-14
ZNF615,0.0582974494865849,-0.435029778404443,0.0,-0.1937991567360479,0.0005455077125372
PISD,0.0582974494865849,-0.1505358527512806,1.212027457609116e-42,-0.3009501965530196,1.948357557002549e-13
SNX19,0.0581318317323617,-0.4364292574328426,0.0,-0.191742198528473,0.0007513235228655
SLC35A4,0.0576349784696919,-0.0629122733275233,6.588098142265911e-05,-0.2234889702348761,3.628535911864472e-06
SNRNP48,0.0576349784696919,-0.0505836095435914,0.0139943516717526,-0.2077166527432942,5.705127806359717e-05
BSN,0.0575245666335431,-0.1649979199753398,1.870934387364183e-33,-0.2194730074022415,7.466334686412218e-06
PYGL,0.0574693607154686,-0.2257084672200631,1.4520364278421364e-69,-0.2741638519477229,1.1899737745275522e-10
C21orf91,0.0574141547973942,-0.1769139358334489,5.481569600988445e-50,-0.2716305791620205,2.1072065993344858e-10
GIN1,0.0573037429612454,-0.1718761917891298,2.0115241917443138e-56,-0.3107915311754485,1.5489275454668446e-14
RBMS1,0.0573037429612454,-0.1036278228129899,6.74367383700957e-19,-0.2022024720631278,0.0001422695948211
FKBP5,0.0573037429612454,-0.2265354074835255,1.0690548262384317e-100,-0.2495651882905168,2.3819109430088164e-08
KLF7,0.0568068896985756,-0.2093233468091097,7.531913764087705e-77,-0.179545317236076,0.0046712116713175
TMBIM1,0.0563100364359059,-0.5437147203539302,0.0,-0.2063701445979748,7.148079209218791e-05
ARF5,0.0559788009274594,-0.0677871660489537,0.0017953672478333,-0.3311374607667828,6.053503982265454e-17
STXBP2,0.0556475654190129,-0.3199518662914377,1.8621903495395572e-208,-0.250375799581795,2.0178584792681548e-08
EID2,0.0556475654190129,-0.0640191089523386,1.110598577319531e-05,-0.2421137007598325,1.0645702660538305e-07
MPHOSPH8,0.0554267417467152,-0.0849015175762138,1.2734408161365088e-10,-0.1888821197672919,0.0011658294770565
NDUFAB1,0.0553163299105664,-0.0489505940850342,0.030004565672886,-0.182616900919682,0.0029819965058878
SLC16A3,0.0552335210334547,-0.4907772987503158,0.0,-0.17785883025767,0.0059573175705492
MIIP,0.0546538588936734,-0.061106997523541,5.973951379720837e-05,-0.2474330355612582,3.6743439938692584e-08
DNASE2,0.0539913878767803,-0.1073530453760446,2.565186088185375e-17,-0.1673776168717384,0.0256641382083601
TIMP2,0.0538257701225571,-0.0974747993078339,7.524993808538499e-15,-0.2701516020863395,2.933555545286526e-10
RMND5A,0.0536601523683338,-0.058769141659561,0.0002180543446464,-0.2781934373802315,4.7359984821263915e-11
SPAG7,0.0531080931875897,-0.113634271974376,4.962377742513341e-10,-0.1862407986492104,0.0017389035013201
SNX2,0.0529976813514408,-0.0137845172778921,2.0875366186971864e-05,-0.2960409523688532,6.648247559049705e-13
IRS1,0.0529148724743292,-0.1319684277542425,3.9781938207950225e-11,-0.1730111875466317,0.0118340944702388
ZNF14,0.0523352103345478,-0.5387048208279814,0.0,-0.2209886509383019,5.695632675212679e-06
STK16,0.0523352103345478,-0.08692741365006,0.0332015994388585,-0.3210523964827564,9.96811545917103e-16
SPINT2,0.0520039748261013,-0.6804903152746677,0.0,-0.240877307602323,1.3583051321684954e-07
ZNF417,0.0517831511538036,-0.2588737230971158,2.4586151814360938e-123,-0.1882150837965496,0.0012903835022738
DSTYK,0.0513415038092083,-0.1233802156792819,8.26936223224965e-28,-0.2652839227929527,8.591972201221233e-10
TRIM56,0.0510102683007618,-0.1293364786752405,8.350713800957478e-31,-0.2364087425243719,3.2402968441063764e-07
GLCE,0.0510102683007618,-0.1309486283394576,1.2406929504833364e-31,-0.2373418307106741,2.7062611233857544e-07
TGFA,0.0509274594236502,-0.0623505274774568,0.0002553866130008,-0.2824414264754308,1.7636409718251606e-11
FAM32A,0.0506790327923153,-0.1655241592828354,3.901537031691543e-52,-0.3743431711978474,1.0814168937123233e-22
ROCK2,0.0506790327923153,-0.0587495396899576,0.0002203930941188,-0.1857777887989018,0.0018640601823477
ATP11B,0.0500165617754223,-0.1609609425128384,1.1106499605856674e-35,-0.1787628175667515,0.0052306944508559
USH1C,0.7813845644253063,-0.1240099219232022,4.050919319271142e-28,-0.0344133829854406,2353.7066684439533
TBX20,0.7654852600198742,-0.2139908775862967,4.753910533312984e-89,0.0697052162344247,379.0362562743085
SLIT3,0.756873136800265,-0.2477348208618094,1.8495351399797531e-121,-0.0490500283199226,1215.6365227477463
BNC1,0.7426300099370653,-0.5361140284215852,0.0,0.0169228667752483,4382.887516744567
GHSR,0.7270619410400795,0.0364621197765618,5.857394555250794,0.177622470549696,0.0061627449105543
GRP,0.7124875786684333,0.1935007628994629,2.142003671906584e-72,-0.0207294929265954,3885.503738725309
WASF3,0.7088439880755217,-0.4392577116299467,0.0,-0.0496168674074654,1181.7374129228256
PTF1A,0.7071878105332892,-0.0883988261218713,1.3290192661949472e-12,-0.0075308084330877,5705.464619047724
ONECUT1,0.7068565750248427,-0.1401570223130909,2.9823943635761237e-35,0.0782411295375379,215.4931390044476
